Mark 	Title	Author	Checked Out	Details
	Stonewall Jackson's elbow : an Owen Allison mystery / John Billheimer.  	Billheimer, John W. 	10-15-2006 	 
	The prodigal son / Kate Sedley.  	Sedley, Kate. 	10-29-2006 	 
	Accelerando / Charles Stross.  	Stross, Charles. 	10-29-2006 	 
	The raven in the foregate : the twelfth chronicle of Brother Cadfael / Ellis Peters.  	Peters, Ellis, 1913-1995 	10-29-2006 	 
	Dear Frankie [videorecording] / Pathé Pictures presents ; in association with the UK Film Council and Scottish Screen ; a Scorpio Films Production in association with Sigman Films ; Produced in association with Inside Track Productions ; producter, Caroline Wood ; director Shona Auerbach ; screenplay, Andrea Gibb.  	  	10-29-2006 	 
	Slow dollar / Margaret Maron.  	Maron, Margaret. 	11-05-2006 	 
	The heretic's apprentice / Ellis Peters.  	Peters, Ellis, 1913-1995 	11-05-2006 	 
	High country fall / Margaret Maron.  	Maron, Margaret. 	11-05-2006 	 
	The twelve tasks of Flavia Gemina / Caroline Lawrence.  	Lawrence, Caroline. 	11-05-2006 	 
	Turtles can fly [videorecording] / IFC Films, MIJ Film and BAC films present a production MIJ Film/Bahman Ghobadi ; producers, Hamid Ghavami, Batin Ghobadi, Hamid Karimi, Babak Amini ; written by Bahman Ghobadi ; directed by Bahman Ghobadi.  	  	11-05-2006 	 
	The oxygen murder : a periodic table mystery / Camille Minichino.  	Minichino, Camille. 	11-12-2006 	 
	The prudence of the flesh / Ralph McInerny.  	McInerny, Ralph, 1929-2010 	11-12-2006 	 
	Christ the Lord : out of Egypt : a novel / Anne Rice.  	Rice, Anne, 1941- 	11-12-2006 	 
	The enemies of Jupiter / Caroline Lawrence.  	Lawrence, Caroline. 	11-12-2006 	 
	"B" is for burglar / Sue Grafton.  	Grafton, Sue. 	12-03-2006 	 
	Rituals of the season / Margaret Maron.  	Maron, Margaret. 	12-03-2006 	 
	"A" is for alibi : a Kinsey Millhone mystery / by Sue Grafton.  	Grafton, Sue. 	12-09-2006 	 
	Mystics & miracles : true stories of lives touched by God / Bert Ghezzi.  	Ghezzi, Bert. 	12-09-2006 	 
	Dragon's fire / Anne McCaffrey, Todd McCaffrey.  	McCaffrey, Anne. 	12-09-2006 	 
	The angel and the Jabberwocky murders : an Augusta Goodnight mystery (with heavenly recipes) / Mignon F. Ballard.  	Ballard, Mignon Franklin. 	12-30-2006 	 
	Winter's child / Margaret Maron.  	Maron, Margaret. 	12-30-2006 	 
	"C" is for corpse : a Kinsey Millhone mystery / Sue Grafton.  	Grafton, Sue. 	12-30-2006 	 
	I, robot [videorecording] / 20th Century Fox ; Davis Entertainment ; Laurence Mark Productions ; Canlaws Productions ; Mediastream Vierte Film GmbH & Co. Vermarktungs KG ; Overbrook Entertainment ; produced by John Davis, Topher Dow, Wyck Godfrey, Laurence Mark ; screenplay, Jeff Vintar and Akiva Goldsman ; directed by Alex Proyas.  	  	12-30-2006 	 
	Million dollar baby [videorecording] / Warner Bros. Pictures presents ; in association with Lakeshore Entertainment ; a Malpaso/Ruddy Morgan production ; produced by Albert S. Ruddy, Tom Rosenberg, Paul Haggis ; screenplay by Paul Haggis ; produced and directed by Clint Eastwood.  	  	12-30-2006 	 
	Bleeding hearts / Susan Wittig Albert.  	Albert, Susan Wittig. 	01-07-2007 	 
	"D" is for deadbeat : a Kinsey Millhone mystery / Sue Grafton.  	Grafton, Sue. 	01-07-2007 	 
	Eight below [videorecording] / Walt Disney Pictures presents in association with Spyglass Entertainment a Mandeville Films production, a film by Frank Marshall ; produced by David Hoberman, Patrick Crowley ; screenplay by David DiGilio ; directed by Frank Marshall.  	  	01-07-2007 	 
	"E" is for evidence : a Kinsey Millhone mystery / Sue Grafton. --  	Grafton, Sue. 	01-21-2007 	 
	The celtic riddle : an archaeological mystery / Lyn Hamilton.  	Hamilton, Lyn. 	01-21-2007 	 
	Children of magic / edited by Martin H. Greenberg and Kerrie Hughes.  	  	02-10-2007 	 
	"F" is for fugitive / Sue Grafton.  	Grafton, Sue. 	02-10-2007 	 
	The princess diaries 2 [videorecording] : royal engagement / Walt Disney Pictures presents [a] BrownHouse Productions, a Garry Marshall film ; produced by Debra Martin Chase, Whitney Houston, Mario Iscovich ; screenplay by Shonda Rhimes ; directed by Garry Marshall.  	  	04-26-2007 	 
	RV [videorecording] / Columbia Pictures presents in association with Relativity Media, a Douglas Wick & Lucy Fisher/Intermedia/IMF production ; produced by Bobby Cohen, Lucy Fisher, Douglas Wick ; written by Geoff Rodkey ; directed by Barry Sonnenfeld.  	  	04-26-2007 	 
	Akeelah and the bee [videorecording] / Lionsgate, 2929 Productions and Starbucks Entertainment present an Out of the Blue Entertainment and Reactor Films production in association with Cinema Gypsy Productions, Inc. ; produced by Laurence Fishburne, Sidney Ganis, Nancy Hult, Daniel Llewelyn, Michael Romersa ; written and directed by Doug Atchison.  	  	04-26-2007 	 
	Live at Red Rocks [sound recording] / John Tesh.  	Tesh, John. 	05-31-2007 	 
	Thundering rainstorm [sound recording].  	  	05-31-2007 	 
	Music inspired by The chronicles of Narnia [sound recording] : the lion, the witch and the wardrobe.  	  	05-31-2007 	 
	A wind in the door [sound recording].  	L'Engle, Madeleine. 	07-07-2007 	 
	Stalking ivory : a Jade Del Cameron mystery / Suzanne Arruda.  	Arruda, Suzanne Middendorf, 1954- 	08-22-2007 	 
	The cat who had 60 whiskers / Lilian Jackson Braun.  	Braun, Lilian Jackson. 	08-22-2007 	 
	Chant [sound recording] / the Benedictine Monks of Santo Domingo de Silos.  	Santo Domingo de Silos (Benedictine abbey). Coro de monjes. 	08-25-2007 	 
	Back story [sound recording] / Robert B. Parker.  	Parker, Robert B., 1932-2010 	08-25-2007 	 
	Down by the riverside / by Jackie Lynn.  	Lynn, Jackie. 	09-08-2007 	 
	Tricky business [sound recording] / Dave Barry.  	Barry, Dave. 	09-08-2007 	 
	Gaits of heaven / by Susan Conant.  	Conant, Susan, 1946- 	09-08-2007 	 
	Jacob's ladder / Jackie Lynn.  	Lynn, Jackie. 	09-08-2007 	 
	The prince and the pauper [sound recording] / author, Mark Twain.  	Twain, Mark, 1835-1910. 	09-13-2007 	 
	Dragonflight [sound recording] / Anne McCaffrey.  	McCaffrey, Anne. 	09-13-2007 	 
	Spanish dagger / Susan Wittig Albert.  	Albert, Susan Wittig. 	09-13-2007 	 
	The wish list [sound recording] / Eoin Colfer.  	Colfer, Eoin. 	09-13-2007 	 
	Aunt Dimity goes West / Nancy Atherton.  	Atherton, Nancy. 	09-29-2007 	 
	Out of hormone's way : a Bel Barrett mystery / Jane Isenberg.  	Isenberg, Jane. 	09-29-2007 	 
	Sins of a Shaker summer : a Sister Rose Callahan mystery / Deborah Woodworth.  	Woodworth, Deborah. 	10-09-2007 	 
	Jerry Maguire [videorecording] / TriStar Pictures presents a Gracie Films Production.  	  	10-14-2007 	 
	Talladega nights. The ballad of Ricky Bobby [videorecording] / Apatow Productions ; High, Wide and Handsome, Inc. ; Mosaic Media Group ; Relativity Media ; Sony Computer Entertainment Europe ; produced by Judd Apatow, Jimmy Miller ; written by Will Ferrell & Adam McKay ; directed by Adam McKay.  	  	10-14-2007 	 
	Murder among the OWLS / Bill Crider.  	Crider, Bill, 1941- 	10-14-2007 	 
	Absolute friends [sound recording] / John le Carré.  	Le Carré, John, 1931- 	11-17-2007 	 
	All shots / Susan Conant.  	Conant, Susan, 1946- 	11-17-2007 	 
	"Surely you're joking, Mr. Feynman!" [sound recording] / by Richard P. Feynman.  	Feynman, Richard P. (Richard Phillips), 1918-1988. 	11-17-2007 	 
	Shooting star : a Martha's Vineyard mystery / Cynthia Riggs.  	Riggs, Cynthia. 	12-02-2007 	 
	Pegasus in space / Anne McCaffrey.  	McCaffrey, Anne. 	12-02-2007 	 
	The matrix [videorecording] ; The matrix revisited / Warner Home Video.  	  	12-02-2007 	 
	A war of gifts : an Ender story / Orson Scott Card.  	Card, Orson Scott. 	12-08-2007 	 
	Blue screen / Robert B. Parker.  	Parker, Robert B., 1932-2010 	12-08-2007 	 
	Miss Potter [videorecording] / The Weinstein Company and Phoenix Pictures present a David Kirschner production in association with Isle of Man Film and the UK Film Council, a Chris Noonan film ; produced by David Kirschner, Mike Medavoy, Arnold W. Messer, David Thwaites ; written by Richard Maltby Jr. ; directed by Chris Noonan.  	  	12-15-2007 	 
	The Rowan / Anne McCaffrey.  	McCaffrey, Anne. 	12-15-2007 	 
	Orphans of chaos / John C. Wright.  	Wright, John C. (John Charles), 1961- 	12-15-2007 	 
	Out of the frying pan, into the choir : a Ruby, the rabbi's wife mystery / Sharon Kahn.  	Kahn, Sharon, 1934- 	12-15-2007 	 
	The things I know best : a novel / Lynne Hinton.  	Hinton, J. Lynne. 	12-26-2007 	 
	Death by accident : a Sheriff Dan Rhodes mystery / Bill Crider.  	Crider, Bill, 1941- 	12-26-2007 	 
	As dog is my witness : another Aaron Tucker mystery / Jeffrey Cohen.  	Cohen, Jeffrey, 1957- 	12-26-2007 	 
	Damia / Anne McCaffrey.  	McCaffrey, Anne. 	12-26-2007 	 
	Antz [videorecording] / DreamWorks Pictures and PDI.  	  	12-26-2007 	 
	The case of the tough-talking turkey / Claudia Bishop.  	Bishop, Claudia, 1947- 	12-30-2007 	 
	The Orkney scroll / Lyn Hamilton.  	Hamilton, Lyn. 	12-30-2007 	 
	The serpent's daughter : a Jade Del Cameron mystery / Suzanne Arruda.  	Arruda, Suzanne Middendorf, 1954- 	02-25-2008 	 
	On Kingdom Mountain / Howard Frank Mosher.  	Mosher, Howard Frank. 	02-25-2008 	 
	"What do you care what other people think?" [sound recording] / Richard P. Feynman.  	Feynman, Richard P. (Richard Phillips), 1918-1988. 	03-29-2008 	 
	The time tunnel. Volume one [videorecording] / created and produced by Irwin Allen ; directed by Irwin Allen.  	  	06-02-2008 	 
	Enchanted [videorecording] / Walt Disney Pictures ; Andalasia Productions ; Steiner Studios ; James Baxter Animation ; Josephson Entertainment ; produced by Barry Josephson, Barry Sonnenfeld ; animation producer, Ron Rocha ; written by Bill Kelly ; directed by Kevin Lima.  	  	08-08-2008 	 
	13 things that don't make sense : the most baffling scientific mysteries of our time / Michael Brooks.  	Brooks, Michael, 1970- 	08-15-2008 	 
	Aunt Dimity : vampire hunter / Nancy Atherton.  	Atherton, Nancy. 	08-15-2008 	 
	Mr. Magorium's Wonder Emporium [videorecording] / Walden Media and Mandate Pictures present a FilmColony production in association with Gang of Two ; produced by Richard N. Gladstein, James Garavente ; written and directed by Zach Helm.  	  	08-15-2008 	 
	Nightshade / Susan Wittig Albert.  	Albert, Susan Wittig. 	12-26-2008 	 
	Quofum : a novel of the Commonwealth / Alan Dean Foster.  	Foster, Alan Dean, 1946- 	12-26-2008 	 
	Swing low, sweet Chariot / Jackie Lynn.  	Lynn, Jackie. 	12-26-2008 	 
	The angel whispered danger / Mignon F. Ballard.  	Ballard, Mignon Franklin. 	12-26-2008 	 
	Some like it hot-buttered / Jeffrey Cohen.  	Cohen, Jeffrey, 1957- 	12-26-2008 	 
	Heart attack / Donn Cortez.  	Cortez, Donn. 	12-26-2008 	 
	The bucket list [videorecording] / Warner Bros. Pictures presents a Zadan/Meron-Reiner/Greisman production, a Rob Reiner film ; produced by Craig Zadan, Neil Meron, Alan Greisman, Rob Reiner ; written by Justin Zackham ; directed by Rob Reiner.  	  	12-26-2008 	 
	Bridge to Terabithia [videorecording] / Walt Disney Pictures and Walden Media present a Hal Lieberman Company production ; a Lauren Levine production ; produced by Hal Lieberman, Lauren Levine, David Paterson ; screenplay by Jeff Stockwell and David Paterson ; directed by Gabor Csupo.  	  	12-26-2008 	 
	Carrie's war [videorecording] / a co-production of BBC and WGBH/Boston ; written by Michael Crompton ; directed by Coky Giedroyć.  	  	12-26-2008 	 
	Hard row / Margaret Maron.  	Maron, Margaret. 	12-29-2008 	 
	The leopard's prey : a Jade del Cameron mystery / Suzanne Arruda.  	Arruda, Suzanne Middendorf, 1954- 	04-24-2009 	 
	The tale of Hawthorn House / Susan Wittig Albert.  	Albert, Susan Wittig. 	04-24-2009 	 
	Chicken Little [videorecording] / Walt Disney Pictures ; produced by Randy Fullmer ; story, Mark Dindal, Mark Kennedy ; writers, Steve Bencich, Ron J. Friedman, Ron Anderson ; directed by Mark Dindal.  	  	04-24-2009 	 
	Hark! the herald angel screamed : an Augusta Goodnight mystery (with heavenly recipes) / Mignon F. Ballard.  	Ballard, Mignon Franklin. 	05-02-2009 	 
	Indiana Jones and the Kingdom of the Crystal Skull [videorecording] / Paramount Pictures ; Lucasfilm ; produced by Frank Marshall ; story by George Lucas and Jeff Nathanson ; screenplay by David Koepp ; directed by Steven Spielberg.  	  	05-02-2009 	 
	A long way gone : memoirs of a boy soldier / Ishmael Beah.  	Beah, Ishmael, 1980- 	08-14-2009 	 
	Fireproof [videorecording] / Affirm Films ; Samuel Goldwyn Films ; Sherwood Pictures presents, in association with Carmel Entertainment and Provident Films, a Kendrick Brothers production ; produced by Alex Kendrick, Stephen Kendrick, David Nixon ; story and screenplay by Alex Kendrick, Stephen Kendrick ; directed by Alex Kendrick.  	  	08-14-2009 	 
	Aunt Dimity slays the dragon / Nancy Atherton.  	Atherton, Nancy. 	08-14-2009 	 
	Happy are the merciful : a Blackie Ryan mystery / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	08-24-2009 	 
	Happy are the meek / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	09-15-2009 	 
	Hancock [videorecording] / Columbia Pictures presents in association with Relativity Media a Blue Light/Weed Road Pictures/Overbrook Entertainment production ; written by Vy Vincent Ngo and Vince Gilligan ; produced by Akiva Goldsman, Michael Mann, Will Smith, James Lassiter ; directed by Peter Berg.  	  	11-17-2009 	 
	Slumdog millionaire [videorecording] / Fox Searchlight Pictures, Warner Bros. Pictures, Celador Films, Film4 present ; directed by Danny Boyle ; co-director, Loveleen Tandan ; screenplay by Simon Beaufoy ; produced by Christian Colson.  	  	11-17-2009 	 
	Sand sharks / Margaret Maron.  	Maron, Margaret. 	11-17-2009 	 
	The Bishop goes to the university : a Blackie Ryan story / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	11-25-2009 	 
	Irish mist : a Nuala Anne McGrail novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	11-25-2009 	 
	Crocodile on the sandbank / Elizabeth Peters.  	Peters, Elizabeth, 1927- 	11-25-2009 	 
	Race to Witch Mountain [videorecording] / Walt Disney Pictures presents a Gunn Films production ; produced by Andrew Gunn ; screen story by Matt Lopez ; screenplay by Matt Lopez and Mark Bomback ; directed by Andy Fickman.  	  	11-25-2009 	 
	Foyle's war. Set 3 [videorecording] / Greenlit Productions, Ltd. ; produced by Keith Thompson ; written Anthony Horowitz ... [et al.] ; directed by Gavin Millar ... [et al.].  	  	12-19-2009 	Volume disc 1 French Drop
	Foyle's war. Set 3 [videorecording] / Greenlit Productions, Ltd. ; produced by Keith Thompson ; written Anthony Horowitz ... [et al.] ; directed by Gavin Millar ... [et al.].  	  	12-19-2009 	Volume disc 4 War of Nerves
	The bishop at the lake : a Blackie Ryan novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	12-19-2009 	 
	Boundary / Eric Flint & Ryk E. Spoor.  	Flint, Eric. 	12-19-2009 	 
	Bedtime stories [videorecording] / Walt Disney Pictures presents a Happy Madison production, a Conman & Izzy production, an Offspring production ; a film by Adam Shankman ; produced by Andrew Gunn, Adam Sandler, Jack Giarraputo ; story by Matt Lopez ; screenplay by Matt Lopez and Tim Herlihy ; directed by Adam Shankman.  	  	12-19-2009 	 
	Wormwood / Susan Wittig Albert.  	Albert, Susan Wittig. 	12-30-2009 	 
	Irish gold / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	12-30-2009 	 
	Irish whiskey : a Nuala Anne McGrail novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	12-30-2009 	 
	The legend of Bagger Vance [videorecording] / DreamWorks Pictures and Twentieth Century Fox present a Wildwood/Allied production ; directed by Robert Redford ; produced by Robert Redford, Michael Nozik, and Jake Eberts.  	  	12-30-2009 	 
	Nanny McPhee [videorecording] / Universal Pictures ; Working Title Films ; Three Strange Angels ; Studio Canal ; produced by Tim Bevan, Lindsay Doran, Eric Fellner, Debra Hayward ; screenplay by Emma Thompson ; directed by Kirk Jones.  	  	12-30-2009 	 
	Nim's Island [videorecording] / Walden Media ; produced by Paula Mazur ; co-produced by Alan Edward Bell ; screenplay by Joseph Kwong & Paula Mazur and Mark Levin & Jennifer Flackett ; directed by Jennifer Flackett, Mark Levin.  	  	12-30-2009 	 
	The archbishop in Andalusia / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	12-30-2009 	 
	The senator and the priest / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	01-07-2010 	 
	Happy are those who thirst for justice : a Father Blackie Ryan mystery / Andrew M. Greeley ; [map by Heidi Hornaday].  	Greeley, Andrew M., 1928- 	01-07-2010 	 
	Flinx transcendent : a Pip & Flinx adventure / Alan Dean Foster.  	Foster, Alan Dean, 1946- 	01-16-2010 	 
	Charlie Wilson's war [videorecording] / Good Time Charlie Productions ; Universal Pictures ; Playtone ; Participant Productions ; Relativity Media ; produced by Gary Goetzman, Tom Hanks ; screenplay by Aaron Sorkin ; directed by Mike Nichols.  	  	01-16-2010 	 
	Boys town [videorecording] / producer, John W. Considine Jr. ; screenplay, John Meehan, Dore Schary ; directed by Norman Taurog.  	  	01-16-2010 	 
	Foyle's war. Set 4 [videorecording] / Greenlit Productions, Ltd. ; Icon ; written and created by Anthony Horowitz ; produced by Keith Thompson.  	  	01-24-2010 	 
	Hotel for dogs [videorecording] / DreamWorks Pictures and Nickelodeon Movies presents in association with Cold Spring Pictures, Donners' Company [and] The Montecito Picture Company ; produced by Jason Clark, Jonathan Gordon, Ewan Leslie, Lauren Shuler Donner ; screenplay by Jeff Lowell and Bob Schooley & Mark McCorkle ; directed by Thor Freudenthal.  	  	02-27-2010 	 
	A long way from Chicago : a novel in stories / Richard Peck.  	Peck, Richard, 1934- 	02-27-2010 	 
	Page / Tamora Pierce.  	Pierce, Tamora. 	02-27-2010 	 
	First test / Tamora Pierce.  	Pierce, Tamora. 	02-27-2010 	 
	G-Force [videorecording] / [presented by] Walt Disney Pictures and Jerry Bruckheimer Films ; produced by Jerry Bruckheimer ; screenplay by The Wibberleys ; directed by Hoyt H. Yeatman, Jr.  	  	03-06-2010 	 
	Virgin and martyr / Andrew M. Greeley. --  	Greeley, Andrew M., 1928- 	03-06-2010 	 
	Squire / Tamora Pierce.  	Pierce, Tamora. 	03-06-2010 	 
	U is for undertow / Sue Grafton.  	Grafton, Sue. 	03-06-2010 	 
	Cook the books / Jessica Conant-Park & Susan Conant.  	Conant-Park, Jessica. 	03-23-2010 	 
	The bishop in the old neighborhood : a Blackie Ryan story / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	03-23-2010 	 
	Night at the museum [videorecording] / Twentieth Century-Fox Film Corporation ; 1492 Pictures ; 21 Laps Entertainment ; produced by Micahel Barnathan, Chris Columbus, Bob Ducsay, Shawn Levy ; screen story and screenplay by Robert Ben Garant & Thomas Lennon ; directed by Shawn Levy.  	  	03-27-2010 	 
	The elephant whisperer : my life with the herd in the African wild / Lawrence Anthony with Graham Spence.  	Anthony, Lawrence. 	05-08-2010 	 
	The tale of Briar Bank : the cottage tales of Beatrix Potter / Susan Wittig Albert.  	Albert, Susan Wittig. 	05-08-2010 	 
	Irish eyes : a Nuala Anne McGrail novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	05-20-2010 	 
	Treasure of the golden cheetah / Suzanne Arruda.  	Arruda, Suzanne Middendorf, 1954- 	05-20-2010 	 
	Babylon's ark : the incredible wartime rescue of the Baghdad Zoo / Lawrence Anthony with Graham Spence.  	Anthony, Lawrence. 	05-20-2010 	 
	Nightshade / Susan Wittig Albert.  	Albert, Susan Wittig. 	05-20-2010 	 
	Worship again [sound recording] / Michael W. Smith.  	Smith, Michael W. (Michael Whitaker), 1957- 	05-20-2010 	 
	The body in the gallery : a Faith Fairchild mystery / Katherine Hall Page.  	Page, Katherine Hall. 	05-20-2010 	 
	Happy are the poor in spirit : a Blackie Ryan novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	05-20-2010 	 
	The tale of Applebeck Orchard / Susan Wittig Albert.  	Albert, Susan Wittig. 	06-09-2010 	 
	Mysteries of the Middle Ages [sound recording] : [the rise of feminism, science, and art from the cults of Catholic Europe] / Thomas Cahill.  	Cahill, Thomas. 	06-09-2010 	 
	The gospel according to Judas [sound recording] : by Benjamin Iscariot / [recounted by Jeffrey Archer, with the assistance of professor Francis J. Moloney].  	Archer, Jeffrey, 1940- 	06-09-2010 	 
	The priestly sins [sound recording] / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	06-09-2010 	 
	Trojan odyssey [sound recording] / Clive Cussler.  	Cussler, Clive. 	06-09-2010 	 
	Irish love : a Nuala Anne McGrail novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	06-25-2010 	 
	Julie & Julia [videorecording] / Columbia Pictures presents an Easy There Tiger/Amy Robinson production, a Laurence Mark production, a film by Nora Ephron ; produced by Laurence Mark, Nora Ephron, Amy Robinson, Eric Steel ; screenplay by Nora Ephron ; directed by Nora Ephron.  	  	06-25-2010 	 
	Night at the museum [videorecording] / Twentieth Century-Fox Film Corporation ; 1492 Pictures ; 21 Laps Entertainment ; produced by Micahel Barnathan, Chris Columbus, Bob Ducsay, Shawn Levy ; screen story and screenplay by Robert Ben Garant & Thomas Lennon ; directed by Shawn Levy.  	  	07-02-2010 	 
	The professional / Robert B. Parker.  	Parker, Robert B., 1932-2010. 	07-02-2010 	 
	Irish stew! : a Nuala Anne McGrail story / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	07-02-2010 	 
	The Pink panther [videorecording] / Mirisch-G&E Productions.  	  	07-02-2010 	 
	A river in the sky / Elizabeth Peters.  	Peters, Elizabeth, 1927- 	07-09-2010 	 
	The bishop at sea : a Blackie Ryan mystery / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	07-09-2010 	 
	Defending angels / Mary Stanton.  	Stanton, Mary. 	07-31-2010 	 
	The body in the sleigh / Katherine Hall Page.  	Page, Katherine Hall. 	07-31-2010 	 
	90 minutes in heaven : a true story of death & life / Don Piper with Cecil Murphey.  	Piper, Don, 1950- 	09-03-2010 	 
	Night at the Museum. Battle of the Smithsonian [videorecording] / Twentieth Century Fox presents a 1492 Pictures [and] 21 Laps Entertainment ; Museum Canada Productions ; produced by Michael Barnathan, Chris Columbus, Shawn Levy, Mark Radcliffe ; written by Robert Ben Garant & Thomas Lennon ; directed by Shawn Levy.  	  	09-03-2010 	 
	The Spiderwick chronicles [videorecording] / Paramount Pictures and Nickelodeon Movies present a Kennedy/Marshall and a Mark Canton Productions, a Mark Waters film ; produced by Mark Canton, Larry Franco, Ellen Goldsmith-Vein, Karey Kirkpatrick ; screenplay by Karey Kirkpatrick and David Berenbaum and John Sayles ; directed by Mark Waters.  	  	09-03-2010 	 
	The crocodile's last embrace : a Jade del Cameron mystery / Suzanne Arruda.  	Arruda, Suzanne Middendorf, 1954- 	10-16-2010 	 
	Ender in exile / Orson Scott Card.  	Card, Orson Scott. 	10-16-2010 	 
	Air ferrets aloft / Richard Bach.  	Bach, Richard. 	10-16-2010 	 
	Irish crystal : a Nuala Anne McGrail novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	10-30-2010 	 
	Aunt Dimity down under / Nancy Atherton.  	Atherton, Nancy. 	10-30-2010 	 
	Avenging angels / Mary Stanton  	Stanton, Mary. 	11-13-2010 	 
	The imaginarium of Doctor Parnassus [videorecording].  	  	11-13-2010 	 
	Holly blues / Susan Wittig Albert.  	Albert, Susan Wittig. 	11-20-2010 	 
	The men who stare at goats [videorecording] / produced by George Clooney, Grant Heslov, Paul Lister ; screenplay by Peter Straughan ; directed by Grant Heslov.  	Clooney, George. 	11-28-2010 	 
	Iron man 2 [videorecording].  	  	12-05-2010 	 
	Casual Rex : a novel / Eric Garcia.  	Garcia, Eric. 	12-13-2010 	 
	Alice in Wonderland [videorecording] / Walt Disney Pictures ; directed by Tim Burton.  	  	01-11-2011 	 
	The Adventures of Buckaroo Banzai [videorecording] / Sherwood Productions; executive producer, Sidney Beckerman; producers, Neil Canton and W.D. Richter; writer, Earl Mac Rauch; director, W.D. Richter.  	  	01-11-2011 	 
	The tale of Oat Cake Crag : the cottage tales of Beatrix Potter / Susan Wittig Albert.  	Albert, Susan Wittig. 	01-21-2011 	 
	The tale of Applebeck Orchard / Susan Wittig Albert.  	Albert, Susan Wittig. 	01-31-2011 	 
	Sherlock. Season 01 [videorecording].  	  	01-31-2011 	 
	Freedom Writers [videorecording] / Paramount Pictures ; Double Feature Films ; MTV Films ; Jersey Films ; Kernos Filmproduktiosgesellschaft & Company ; produced by Danny DeVito, Michael Shamberg, Stacey Sher ; screenplay by Richard LaGravenese ; directed by Richard LaGravenese.  	  	02-09-2011 	 
	A marked man : an Abigail Adams mystery / Barbara Hamilton.  	Hamilton, Barbara, 1951- 	02-20-2011 	 
	The astronaut farmer [videorecording] / director, Michael Polish.  	  	02-20-2011 	 
	The ninth daughter / Barbara Hamilton.  	Hamilton, Barbara, 1951- 	02-27-2011 	 
	Heaven is for real : a little boy's astounding story of his trip to heaven and back / Todd Burpo with Lynn Vincent.  	Burpo, Todd. 	04-28-2011 	 
	Catacombs : a tale of the Barque cats / Anne McCaffrey, Elizabeth Ann Scarborough.  	McCaffrey, Anne. 	04-28-2011 	 
	Where the wild things are [videorecording].  	  	04-28-2011 	 
	The Darling Dahlias and the cucumber tree / Susan Wittig Albert.  	Albert, Susan Wittig. 	05-04-2011 	 
	The Celestine prophecy : an adventure / James Redfield.  	Redfield, James. 	05-04-2011 	 
	The Grub-and Stakers spin a yarn / Charlotte Macleod writing as Alisa Craig.  	Craig, Alisa, 1922-2005 	05-22-2011 	 
	The Celestine prophecy : an adventure / James Redfield.  	Redfield, James. 	05-22-2011 	 
	Painted ladies / Robert B. Parker.  	Parker, Robert B., 1932-2010. 	05-22-2011 	 
	Invictus [videorecording] / Warner Bros. Pictures presents ; in association with Spyglass Entertainment ; a Revelations Entertainment/Mace Neufeld production ; a Malpaso production ; screenplay by Anthony Peckham ; produced by Lori McCreary, Robert Lorenz, Mace Neufeld ; produced and directed by Clint Eastwood.  	  	06-18-2011 	 
	Prey on Patmos / Jeffrey Siger.  	Siger, Jeffrey. 	06-25-2011 	 
	Murder in Mykonos / Jeffrey Siger.  	Siger, Jeffrey. 	07-12-2011 	 
	Irish cream : a Nuala Anne McGrail novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	07-12-2011 	 
	Painted ladies / Robert B. Parker.  	Parker, Robert B., 1932-2010. 	07-12-2011 	 
	Resolution / Robert B. Parker.  	Parker, Robert B., 1932-2010 	07-16-2011 	 
	Lawrence of Arabia [videorecording] / Columbia ; the Sam Spiegel-David Lean production ; screenplay by Robert Bolt and Michael Wilson ; produced by Sam Spiegel ; directed by David Lean.  	  	07-16-2011 	 
	Brimstone / Robert B. Parker.  	Parker, Robert B., 1932-2010. 	07-23-2011 	 
	Chasing the bear : a young Spenser novel / Robert B. Parker.  	Parker, Robert B., 1932-2010 	07-23-2011 	 
	Irish linen : a Nuala Anne McGrail novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	07-23-2011 	 
	Assassins of Athens / Jeffrey Siger.  	Siger, Jeffrey. 	07-30-2011 	 
	Irish crystal : a Nuala Anne McGrail novel / Andrew M. Greeley.  	Greeley, Andrew M., 1928- 	07-30-2011 	 
	Edenville Owls / Robert B. Parker.  	Parker, Robert B., 1932-2010 	07-30-2011 	 
